study_id	plate	animal	genotype	sex	tx	dose_dio	dosing_regimen	days_harvest	ngml_av	saline_mean	n_saline	rel	n_animals	color	is_reference	is_ntc	sequence_number	display_tx	x
CMR-1656	64	92826.2	C57BL/6N	F	1682-exNA	10	0	30	57.834	99.0924	5	0.583637090230936	18	#FF0066	FALSE	FALSE	1682	1682-s4	6
CMR-1656	64	92826.3	C57BL/6N	F	1682-exNA	10	0	30	49.624	99.0924	5	0.5007851258017769	18	#FF0066	FALSE	FALSE	1682	1682-s4	6
CMR-1403	49	88074.3	C57BL/6N	F	NTC	10	0	20	145.841	127.23566666666666	6	1.146227341914086	16	#666666	FALSE	TRUE		NTC-s1	2
CMR-1403	49	88075.2	C57BL/6N	F	NTC	10	0	20	136.351	127.23566666666666	6	1.0716413374656477	16	#666666	FALSE	TRUE		NTC-s1	2
CMR-1403	49	88075.3	C57BL/6N	F	NTC	10	0	20	135.446	127.23566666666666	6	1.064528552004548	16	#666666	FALSE	TRUE		NTC-s1	2
CMR-1403	49	88085.3	C57BL/6N	M	NTC	10	0	22	148.108	127.23566666666666	6	1.1640446730083547	16	#666666	FALSE	TRUE		NTC-s1	2
CMR-1656	64	92821.1	C57BL/6N	M	ntc-exNA	10	0	30	104.975	99.0924	5	1.0593647948783156	5	#734A12	FALSE	TRUE		NTC-s4	3
CMR-1656	64	92821.2	C57BL/6N	M	ntc-exNA	10	0	30	93.979	99.0924	5	0.9483976571361679	5	#734A12	FALSE	TRUE		NTC-s4	3
CMR-1656	64	92824.1	C57BL/6N	F	ntc-exNA	10	0	30	106.038	99.0924	5	1.0700921564115915	5	#734A12	FALSE	TRUE		NTC-s4	3
CMR-1656	64	92824.2	C57BL/6N	F	ntc-exNA	10	0	30	96.368	99.0924	5	0.972506468710012	5	#734A12	FALSE	TRUE		NTC-s4	3
CMR-1656	64	92824.3	C57BL/6N	F	ntc-exNA	10	0	30	97.3	99.0924	5	0.9819118317852832	5	#734A12	FALSE	TRUE		NTC-s4	3
