study_id	genotype	display_tx	dose_dio	dosing_regimen	weeks_harvest	n	mean	l95	u95
CMR-1403	C57BL/6N	PBS	0	0	2	3	1.0173326661549305	0.9534995533005057	1.0811657790093552
CMR-1403	C57BL/6N	PBS	0	0	3	3	0.9826673338450697	0.8233596532268554	1.1419750144632839
CMR-1418	Tg25109	2440-s1	10	0	5	5	0.5288416279057997	0.42694836830483307	0.6307348875067663
CMR-1418	Tg25109	2440-s4	10	0	5	7	0.3905228143823845	0.31358884627140293	0.4674567824933661
CMR-1418	Tg25109	NTC-s1	10	0	4	1	1.0919176633144212		
CMR-1418	Tg25109	NTC-s1	10	0	5	4	1.0732052115862516	0.9081716537609739	1.2382387694115293
CMR-1418	Tg25109	PBS	0	0	4	3	0.9193811926706111	0.8556188420535533	0.983143543287669
CMR-1418	Tg25109	PBS	0	0	5	2	1.1209282109940832	1.1031281898645144	1.138728232123652
CMR-1465	Tg26372	2439-s2	10	0	4	3	0.3532806414159198	0.23396556415962438	0.4725957186722152
CMR-1465	Tg26372	2439-s2	10	0	5	3	0.3604371859237739	0.32905290572685947	0.3918214661206883
CMR-1465	Tg26372	2520-s2	10	0	4	6	0.49633035185109897	0.4422328159947036	0.5504278877074943
CMR-1465	Tg26372	2710-s2	10	0	4	4	1.0272741135271783	0.8514863203941052	1.2030619066602515
CMR-1465	Tg26372	2710-s2	10	0	5	2	0.9866652240488885	0.8581540173969169	1.11517643070086
CMR-1465	Tg26372	2768-s2	10	0	4	3	0.560698857392167	0.4577530873752271	0.6636446274091068
CMR-1465	Tg26372	2768-s2	10	0	5	2	0.5169740304121319	0.296049833022065	0.7378982278021987
CMR-1465	Tg26372	NTC-s2	10	0	4	1	1.0016660676685585		
CMR-1465	Tg26372	NTC-s2	10	0	5	5	1.0038081212713341	0.7987241714781957	1.2088920710644724
CMR-1465	Tg26372	PBS	0	0	4	3	1.011797816512267	0.8536227792599294	1.1699728537646046
CMR-1465	Tg26372	PBS	0	0	5	3	0.9882021834877327	0.6297427708728752	1.34666159610259
CMR-1656	C57BL/6N	1682-s4	10	0	4	6	0.49378156145173596	0.43332818041091126	0.5542349424925607
CMR-1656	C57BL/6N	NTC-s4	10	0	4	5	1.006454581784274	0.9584961834121255	1.0544129801564226
CMR-1656	C57BL/6N	PBS	0	0	4	5	1	0.9323586755618349	1.067641324438165
CMR-1697	Tg26372	2439-s4	10	0	4	6	0.28347118586540854	0.2613763857476186	0.30556598598319845
CMR-1697	Tg26372	2520-s4	10	0	4	6	0.4858796451562738	0.4724407447415369	0.4993185455710107
CMR-1697	Tg26372	2768-s4	10	0	4	6	0.5047495596422402	0.44181181427210536	0.5676873050123751
CMR-1697	Tg26372	NTC-s4	10	0	4	6	0.9239965885811883	0.8026369483167954	1.045356228845581
CMR-1697	Tg26372	PBS	0	0	4	6	1	0.9267719640935816	1.0732280359064184
CMR-1871	Tg26372	2439-s2 fixed tail	0.2	0	4	8	0.9227568585153854	0.8788611322641408	0.96665258476663
CMR-1871	Tg26372	2439-s2 fixed tail	1	0	4	8	0.6601470672206604	0.6259366318151777	0.6943575026261432
CMR-1871	Tg26372	2439-s2 fixed tail	5	0	4	8	0.42688333394372757	0.39080775911381954	0.4629589087736356
CMR-1871	Tg26372	2439-s2 matched tail	0.2	0	4	8	0.8931433162515681	0.8400934233468342	0.9461932091563019
CMR-1871	Tg26372	2439-s2 matched tail	1	0	4	8	0.7419302131901216	0.6494599120648221	0.8344005143154212
CMR-1871	Tg26372	2439-s2 matched tail	5	0	4	5	0.40145967751579664	0.3587027247096124	0.4442166303219809
CMR-1871	Tg26372	2439-s3 fixed tail	5	0	4	8	0.500905940338849	0.4522497718249007	0.5495621088527974
CMR-1871	Tg26372	2439-s4 fixed tail	0.2	0	4	8	0.8815058971229842	0.831469287520657	0.9315425067253115
CMR-1871	Tg26372	2439-s4 fixed tail	1	0	4	8	0.5699238764493698	0.4969281477799208	0.6429196051188188
CMR-1871	Tg26372	2439-s4 fixed tail	5	0	4	6	0.29466929244855034	0.2634302818802924	0.3259083030168083
CMR-1871	Tg26372	PBS	0	0	4	8	1	0.9581042723689092	1.0418957276310907
CMR-2198	Tg26372	2439-s2 fixed tail	5	0	4	6	0.37280457361557745	0.31587281268773193	0.42973633454342297
CMR-2198	Tg26372	2439-s2 fixed tail	5	0	13	6	0.4760739660367169	0.4206541301735768	0.5314938018998571
CMR-2198	Tg26372	2439-s2 fixed tail	5	0	25	5	0.6734067125759754	0.5885009533707642	0.7583124717811865
CMR-2198	Tg26372	2439-s4 fixed tail	5	0	4	6	0.29411012595558883	0.23761963648114642	0.35060061543003124
CMR-2198	Tg26372	2439-s4 fixed tail	5	0	13	6	0.5124883317870833	0.4629873437707462	0.5619893198034205
CMR-2198	Tg26372	2439-s4 fixed tail	5	0	25	6	0.7407525382771472	0.6838018535555033	0.797703222998791
CMR-2198	Tg26372	none	0	0	4	6	1	0.8304840532395248	1.1695159467604752
CMR-2198	Tg26372	none	0	0	13	6	1	0.9456914974593418	1.0543085025406582
CMR-2198	Tg26372	none	0	0	25	7	1	0.9500521695502497	1.0499478304497503
CMR-2371	Tg26372	2439-s4	10	0	4	6	0.17207890944737367	0.16161926634040502	0.18253855255434231
CMR-2371	Tg26372	2439-s4	10	0	17	6	0.40091216247617617	0.2441637488960027	0.5576605760563497
CMR-2371	Tg26372	2439-s5	10	0	2	1	0.2737437496067958		
CMR-2371	Tg26372	2439-s5	10	0	4	5	0.20470674758498517	0.19336737084262112	0.2160461243273492
CMR-2371	Tg26372	2439-s5	10	0	17	4	0.22855977559730065	0.18767271974868294	0.26944683144591836
CMR-2371	Tg26372	none	0	0	4	5	1	0.92200652743668	1.07799347256332
CMR-2371	Tg26372	none	0	0	17	8	1	0.9533778216645183	1.0466221783354817
CMR-3164	Tg26372	2439-s4	1.5	0	4	5	0.4920337408852469	0.4159387838288158	0.568128697941678
CMR-3164	Tg26372	2439-s4	1.5	0, 7	4	6	0.32399273828747954	0.27645617190772076	0.3715293046672383
CMR-3164	Tg26372	2439-s4	1.5	0, 7, 90	17	6	0.4117195748621712	0.36270491166958857	0.46073423805475383
CMR-3164	Tg26372	2439-s4	10	0, 7, 90	17	5	0.1524661136799029	0.11006821494431845	0.19486401241548734
CMR-3164	Tg26372	none	0	0	4	7	0.9447768828798105	0.8408734848195034	1.0486802809401177
CMR-3164	Tg26372	none	0	0	17	5	1.077312363968265	0.8203164423702926	1.3343082855662374
